id_poblacion;habitantes;habitantes_mujeres;habitantes_hombres;tasa_natalidad;tasa_fertilidad;esperanza_de_vida_m;esperanza_de_vida_h;exp_vida_buena_salud
NULL;39835428;19400447;20434981;3249;447;67;63;54
NULL;2876180;1436517;1439663;1178;162;80;75;69
NULL;83319091;42352400;40966691;95;156;83;78;71
NULL;35340679;20437515;14903164;178;232;48;44;64
NULL;44616626;22075165;22541461;2428;302;78;75;66
NULL;47270614;25003069;22267545;1702;226;80;73;67
NULL;2968128;1572135;1395993;1399;176;78;71;67
NULL;25739256;12922434;12816822;126;174;85;81;71
NULL;8914484;4535712;4378772;97;147;84;80;71
NULL;163831490;80572382;83259108;1818;204;74;71;64
NULL;1765213;660495;1104718;1399;199;78;76;65
NULL;11535518;5854293;5681225;103;162;84;79;70
NULL;12451031;6230889;6220142;3622;484;63;60;56
NULL;54806013;28394995;26411018;1755;215;70;64;61
NULL;11832936;5896513;5936423;2175;273;75;68;63
NULL;3282431;1665632;1616799;811;127;80;75;67
NULL;2397239;1150675;1246564;2482;287;73;67;54
NULL;213993441;108891925;105101516;1392;173;80;73;65
NULL;6916548;3566833;3349715;89;156;75;68;66
NULL;22100684;11089986;11010698;3793;519;63;61;55
NULL;16589024;8376956;8212068;2246;25;72;68;61
NULL;27198628;13634397;13564231;3539;457;61;58;55
NULL;38929902;19572198;19357704;101;15;84;80;71
NULL;17179740;8556210;8623530;4217;575;56;53;53
NULL;19493185;9818163;9675022;1243;165;82;77;70
NULL;1412360000;691219627;721140373;109;169;79;75;68
NULL;896007;458357;437650;1046;133;84;80;72
NULL;51516563;26101321;25415242;1488;181;80;75;69
NULL;821626;408923;412703;3188;421;66;63;59
NULL;51744876;25902500;25842376;64;98;87;81;73
NULL;27478249;13600535;13877714;3574;465;60;57;55
NULL;5153957;2575216;2578741;1397;175;83;78;70
NULL;4036355;2071425;1964930;9;147;80;74;68
NULL;5840045;2935188;2904857;106;173;83;80;71
NULL;17797738;8910903;8886835;1972;243;80;75;69
NULL;109262178;54001891;55260287;2638;333;75;70;63
NULL;6314168;3307476;3006692;1825;204;68;77;65
NULL;9365145;2853108;6512037;1033;141;78;76;66
NULL;5459781;2793295;2666486;106;152;78;71;68
NULL;2108977;1049039;1059938;94;16;84;78;71
NULL;47615034;24304407;23310627;79;126;86;80;72
NULL;331893745;167480460;164413285;116;173;79;73;65
NULL;1330068;699153;630915;109;159;81;72;69
NULL;120283026;59839622;60443404;3234;425;69;65;60
NULL;113880328;56062865;57817463;2055;258;76;67;62
NULL;5533793;2799985;2733808;86;141;85;79;71
NULL;67656682;34939338;32717344;113;188;86;80;72
NULL;2341178;1148767;1192411;3161;397;69;65;58
NULL;2639915;1326796;1313119;3854;522;63;61;57
NULL;3708610;1964929;1743681;1347;206;78;70;64
NULL;32833032;16457496;16375536;2941;387;65;63;58
NULL;10678632;5482584;5196048;81;135;84;79;71
NULL;17109746;8639673;8470073;2456;287;77;72;62
NULL;10278346;5087643;5190703;216;246;78;73;64
NULL;9730772;5066978;4663794;96;154;80;73;67
NULL;1407563841;681060412;726503429;1786;222;71;69;60
NULL;273753192;135900714;137852478;1807;231;74;70;63
NULL;43533593;21736184;21797409;2908;367;72;67;63
NULL;87923432;43496643;44426789;1878;214;78;72;66
NULL;368522;189043;179479;12;171;85;82;72
NULL;9364000;4695549;4668451;208;309;85;81;72
NULL;59236213;30369987;28866226;73;129;85;81;72
NULL;2827694;1424743;1402951;161;198;74;70;66
NULL;125681594;64594414;61087180;74;142;88;82;74
NULL;11149277;5369123;5780154;2198;276;78;73;67
NULL;19000988;9864589;9136399;2177;284;76;67;65
NULL;53005613;26726429;26279184;2875;349;65;60;58
NULL;6691800;3405781;3286019;271;33;76;68;66
NULL;7425058;3682483;3742575;2355;267;71;67;60
NULL;1893223;1017998;875225;10;16;80;71;66
NULL;5592630;2713490;2879140;1755;209;80;76;66
NULL;5193416;2608243;2585173;3304;432;60;60;56
NULL;2795680;1482082;1313598;10;163;79;70;67
NULL;634730;315274;319456;103;137;85;81;71
NULL;2068808;1033590;1035218;0;0;76;71;66
NULL;28915652;14424717;14490935;3266;408;68;63;58
NULL;33573873;16407343;17166530;1675;2;78;74;65
NULL;19889742;10218942;9670800;3412;421;68;60;58
NULL;21904983;10844239;11060744;4154;588;60;57;55
NULL;516100;249161;266939;92;123;84;81;71
NULL;37076585;18410922;18665663;1894;242;76;72;63
NULL;1266060;641326;624734;102;141;78;71;63
NULL;4614975;2354385;2260590;3369;456;66;63;60
NULL;126705138;64849001;61856137;176;213;74;66;65
NULL;2615200;1373816;1241384;101;126;75;66;65
NULL;3347783;1686321;1661462;2413;29;77;68;60
NULL;620739;313875;306864;1173;175;77;71;67
NULL;32077073;16339849;15737224;3752;485;64;58;51
NULL;2530151;1308985;1221166;2864;34;67;59;56
NULL;30034990;15664025;14370965;1989;192;71;67;61
NULL;6850540;3474910;3375630;2064;24;75;74;65
NULL;25252722;12443587;12809135;4608;691;62;60;56
NULL;213401322;105574310;107827012;3791;539;53;52;54
NULL;5391369;2672110;2719259;104;156;85;82;71
NULL;5122600;2583772;2538828;1198;171;84;80;70
NULL;17475415;8788879;8686536;97;159;84;81;71
NULL;231402116;114586264;116815852;2825;351;69;64;57
NULL;4922750;2467389;2455361;0;0;77;72;0
NULL;4351267;2174744;2176523;1898;246;81;73;68
NULL;6703799;3338534;3365265;2057;243;78;72;65
NULL;33715471;17020361;16695110;1795;225;77;71;69
NULL;37840001;19532513;18307488;102;146;82;74;69
NULL;10298252;5439503;4858749;85;138;85;79;71
NULL;66834405;33826586;33007819;11;168;83;79;70
NULL;10494835;5321931;5172904;107;169;82;76;69
NULL;5835806;2921372;2914434;3286;443;63;60;56
NULL;95894119;48319268;47574851;4118;592;63;59;55
NULL;95894119;48319268;47574851;1951;235;78;72;64
NULL;19201662;9814072;9387590;96;171;77;69;67
NULL;143449286;76824577;66624709;115;157;78;68;64
NULL;16876721;8579664;8297057;3452;463;70;66;59
NULL;6871547;3525575;3345972;92;149;76;70;67
NULL;8420642;4201801;4218841;3341;426;61;58;54
NULL;5453566;2601057;2852509;88;114;86;82;71
NULL;22156000;11481595;10674405;1583;22;80;73;67
NULL;59392254;30497646;28894608;2051;241;68;61;56
NULL;10379295;5156448;5222847;114;176;85;82;72
NULL;8670300;4367701;4302599;10;152;86;82;72
NULL;71601104;36807094;34794010;1034;153;84;75;68
NULL;63588334;32170681;31417653;367;489;69;64;59
NULL;9750064;4843921;4906143;3076;359;70;66;62
NULL;8644829;4299551;4345278;3311;432;62;60;57
NULL;12262945;6205901;6057044;1756;22;79;72;67
NULL;83614362;41698377;41915985;1603;207;81;76;68
NULL;43792855;23524526;20268329;87;13;74;64;64
NULL;45853778;23153140;22700638;3814;496;65;61;58
NULL;3426260;1766768;1659492;1386;197;72;69;67
NULL;34915099;17446107;17468992;233;242;73;68;65
NULL;28199867;14243056;13956811;1788;227;76;67;64
NULL;97468028;49331842;48136186;1675;205;80;71;65
NULL;19473125;9864121;9609004;3619;463;65;60;55
NULL;15993524;8449834;7543690;3068;362;64;58;54
